year,player_name,driving_accuracy
2019,Chez Reavie,75.72
2019,Ryan Moore,75.53
2019,Jim Furyk,74.45
2019,Ryan Armour,73.81
2019,Henrik Stenson,72.13
2019,Andrew Landry,71.72
2019,Brice Garnett,71.45
2019,Brian Stuard,71.09
2019,Austin Cook,70.26
2019,Abraham Ancer,70.21
2019,Brian Gay,70.19
2019,Jim Herman,70.15
2019,David Hearn,69.92
2019,Tyler Duncan,69.63
2019,Kevin Kisner,69.39
2019,Russell Henley,69.33
2019,Kramer Hickok,69.25
2019,Michael Thompson,69.12
2019,Kyle Stanley,69.08
2019,Vaughn Taylor,69.03
2019,Scott Langley,69.02
2019,Brendan Steele,68.71
2019,Kyle Jones,68.62
2019,Joel Dahmen,68.51
2019,Fabián Gómez,68.17
2019,Brian Harman,68.17
2019,Emiliano Grillo,68.13
2019,Kevin Streelman,67.99
2019,Ben Silverman,67.97
2019,Roberto Díaz,67.85
2019,Jason Dufner,67.79
2019,Adam Hadwin,67.77
2019,Paul Casey,67.68
2019,Satoshi Kodaira,67.63
2019,Scott Piercy,67.61
2019,Roberto Castro,67.5
2019,Brady Schnell,67.46
2019,Matt Kuchar,67.41
2019,Alex Cejka,67.19
2019,Johnson Wagner,67.08
2019,Louis Oosthuizen,66.93
2019,Corey Conners,66.92
2019,Rory Sabbatini,66.92
2019,Webb Simpson,66.82
2019,Zach Johnson,66.59
2019,Adam Long,66.51
2019,Bronson Burgoon,66.49
2019,Francesco Molinari,66.45
2019,Troy Merritt,66.43
2019,Keegan Bradley,66.35
2019,Lucas Glover,66.14
2019,Matt Fitzpatrick,66.06
2019,K.H. Lee,66.01
2019,Wes Roach,65.95
2019,Russell Knox,65.9
2019,Denny McCarthy,65.84
2019,Hank Lebioda,65.64
2019,Hunter Mahan,65.61
2019,Daniel Berger,65.48
2019,Sungjae Im,65.45
2019,Scott Brown,65.41
2019,Pat Perez,65.28
2019,Adam Svensson,65.24
2019,Nate Lashley,65.19
2019,J.J. Henry,65.06
2019,Bryson DeChambeau,65.02
2019,C.T. Pan,64.77
2019,Billy Horschel,64.71
2019,Rafa Cabrera Bello,64.52
2019,Jonas Blixt,64.31
2019,Alex Prugh,64.08
2019,Kevin Na,64.05
2019,Tommy Fleetwood,64.02
2019,Sepp Straka,63.91
2019,Sam Ryder,63.62
2019,Ian Poulter,63.6
2019,J.J. Spaun,63.56
2019,Josh Teater,63.5
2019,Gary Woodland,63.41
2019,Bud Cauley,63.26
2019,Kiradech Aphibarnrat,63.25
2019,Brandt Snedeker,63.25
2019,Ted Potter Jr.,63.22
2019,Martin Laird,63.09
2019,Tyrrell Hatton,62.96
2019,Si Woo Kim,62.95
2019,J.T. Poston,62.89
2019,Charles Howell III,62.83
2019,Rod Pampling,62.76
2019,Jason Kokrak,62.74
2019,Dylan Frittelli,62.71
2019,Graeme McDowell,62.69
2019,Chase Wright,62.62
2019,Joey Garber,62.52
2019,Ryan Blaum,62.5
2019,Jon Rahm,62.5
2019,Alex Noren,62.38
2019,Carlos Ortiz,62.3
2019,Matt Jones,62.17
2019,Whee Kim,62.07
2019,Shawn Stefani,61.89
2019,Brooks Koepka,61.83
2019,Roger Sloan,61.83
2019,Rory McIlroy,61.82
2019,Tom Hoge,61.81
2019,Jason Day,61.76
2019,Aaron Wise,61.75
2019,Joaquin Niemann,61.72
2019,Nick Taylor,61.68
2019,Kelly Kraft,61.65
2019,Harris English,61.57
2019,Sangmoon Bae,61.49
2019,Bill Haas,61.33
2019,Hideki Matsuyama,61.28
2019,Adam Schenk,61.27
2019,Richy Werenski,61.26
2019,Robert Streb,60.93
