year,player_name,driving_distance
2013,Luke List,306.3
2013,Dustin Johnson,305.8
2013,Nicolas Colsaerts,305.7
2013,Gary Woodland,303.8
2013,Bubba Watson,303.7
2013,Jason Kokrak,303.2
2013,Robert Garrigus,302.4
2013,Rory McIlroy,302.2
2013,Eric Meierdierks,301.9
2013,Ryan Palmer,301.5
2013,Keegan Bradley,300.6
2013,Martin Flores,300.4
2013,Steven Bowditch,300.2
2013,Sean O'Hair,299.7
2013,Tag Ridings,299.6
2013,Jason Day,299.3
2013,Jim Herman,299.2
2013,S.Y. Noh,298.8
2013,Graham DeLaet,298.6
2013,Jimmy Walker,298.5
2013,Scott Piercy,298.2
2013,Kyle Stanley,298.1
2013,Adam Scott,297.8
2013,Robert Streb,297.7
2013,Shawn Stefani,297.2
2013,Brad Fritsch,297.0
2013,Justin Rose,296.6
2013,Bobby Gates,296.2
2013,Charl Schwartzel,296.1
2013,Scott Stallings,295.7
2013,John Rollins,295.6
2013,Charlie Beljan,295.4
2013,Morgan Hoffmann,295.4
2013,Peter Hanson,295.3
2013,Harris English,295.2
2013,Henrik Norlander,295.0
2013,Charles Howell III,294.8
2013,Steve LeBrun,294.1
2013,Troy Matteson,294.1
2013,Ángel Cabrera,294.0
2013,Charley Hoffman,294.0
2013,Billy Horschel,293.8
2013,Lucas Glover,293.7
2013,Josh Teater,293.7
2013,Cameron Percy,293.6
2013,Martin Laird,293.4
2013,D.J. Trahan,293.4
2013,James Hahn,293.3
2013,Tiger Woods,293.2
2013,Andres Romero,293.1
2013,Rory Sabbatini,293.1
2013,Kevin Chappell,292.9
2013,Greg Owen,292.8
2013,Erik Compton,292.7
2013,Jeff Overton,292.4
2013,Matt Jones,292.3
2013,Brandt Jobe,292.1
2013,Patrick Reed,292.0
2013,Camilo Villegas,291.8
2013,Nicholas Thompson,291.6
2013,Derek Ernst,291.5
2013,Ryo Ishikawa,291.3
2013,Nick Watney,291.2
2013,Tommy Gainey,291.0
2013,Sergio Garcia,291.0
2013,Henrik Stenson,290.9
2013,Boo Weekley,290.9
2013,Brendan Steele,290.7
2013,Lee Westwood,290.3
2013,Carl Pettersson,290.2
2013,Pat Perez,290.1
2013,Andrew Svoboda,290.1
2013,Stewart Cink,290.0
2013,Hunter Mahan,290.0
2013,Kevin Stadler,289.8
2013,Vaughn Taylor,289.8
2013,Ernie Els,289.6
2013,Scott Brown,289.5
2013,Fabián Gómez,289.5
2013,Ricky Barnes,289.4
2013,Jordan Spieth,289.4
2013,John Senden,289.3
2013,Russell Henley,289.0
2013,Chris Kirk,289.0
2013,Chad Campbell,288.9
2013,Aaron Baddeley,288.5
2013,Scott Gardiner,288.4
2013,Martin Kaymer,288.4
2013,Padraig Harrington,288.3
2013,Bill Haas,288.2
2013,Matt Every,288.1
2013,Vijay Singh,288.1
2013,Phil Mickelson,287.9
2013,Bud Cauley,287.5
2013,Brian Harman,287.5
2013,Kevin Streelman,287.5
2013,Freddie Jacobson,287.3
2013,Robert Karlsson,287.2
2013,Cameron Tringale,287.2
2013,James Driscoll,287.1
2013,Y.E. Yang,286.7
2013,Marc Leishman,286.6
2013,Rickie Fowler,286.4
2013,Brendon de Jonge,286.3
2013,Tom Gillis,286.3
2013,George McNeill,286.0
2013,Jason Dufner,285.9
2013,Bo Van Pelt,285.9
2013,David Lingmerth,285.8
2013,Daniel Summerhays,285.7
2013,Webb Simpson,285.4
2013,Sangmoon Bae,285.3
2013,Michael Bradley,285.3
2013,Geoff Ogilvy,285.1
2013,Bob Estes,285.0
2013,Robert Allenby,284.9
2013,Will Claxton,284.9
2013,Matt Kuchar,284.9
2013,Stuart Appleby,284.7
2013,J.J. Henry,284.7
2013,Alistair Presnell,284.6
2013,John Merrick,284.3
2013,Jonas Blixt,283.7
2013,Tim Herron,283.6
2013,Trevor Immelman,283.6
2013,Steve Stricker,283.6
2013,Luke Guthrie,283.5
2013,Chez Reavie,282.8
2013,Rod Pampling,282.6
2013,Roberto Castro,282.3
2013,Ryan Moore,282.3
2013,Charlie Wi,282.1
2013,John Huh,282.0
2013,William McGirt,281.8
2013,Brian Stuard,281.8
2013,Ian Poulter,281.7
2013,Brandt Snedeker,281.3
2013,D.A. Points,281.1
2013,Ben Crane,281.0
2013,D.H. Lee,280.9
2013,Stephen Ames,280.7
2013,David Mathis,280.6
2013,Casey Wittenberg,280.5
2013,Ted Potter Jr.,280.3
2013,Doug LaBelle II,280.1
2013,Justin Hicks,280.0
2013,David Hearn,279.7
2013,Michael Thompson,279.4
2013,Justin Bolli,279.1
2013,Richard Lee,279.1
2013,Ben Kohles,279.0
2013,Scott Langley,278.9
2013,Brian Davis,278.8
2013,Zach Johnson,278.8
2013,Johnson Wagner,278.6
2013,K.J. Choi,278.3
2013,Luke Donald,278.1
2013,Mark Wilson,278.0
2013,David Lynn,277.9
2013,Jeff Maggert,277.6
2013,Graeme McDowell,277.5
2013,David Toms,277.4
2013,Aaron Watkins,277.1
2013,Chris Stroud,277.0
2013,Greg Chalmers,276.8
2013,Jason Bohn,276.3
2013,Justin Leonard,276.3
2013,Lee Williams,275.6
2013,Jim Furyk,275.3
2013,Ken Duke,275.1
2013,Brian Gay,275.1
2013,Darron Stiles,275.1
2013,Ben Curtis,274.9
2013,Dicky Pride,274.8
2013,Tim Clark,273.9
2013,Bryce Molder,273.8
2013,Jerry Kelly,273.2
2013,Jin Park,273.2
2013,Colt Knost,271.7
2013,Mike Weir,270.5
