year,player_name,final_season_rank
2009,Tiger Woods,1
2009,Phil Mickelson,2
2009,Steve Stricker,3
2009,Jim Furyk,4
2009,Sean O'Hair,5
2009,Zach Johnson,6
2009,Padraig Harrington,7
2009,Heath Slocum,8
2009,Kenny Perry,9
2009,Scott Verplank,10
2009,Jason Dufner,11
2009,Nick Watney,12
2009,Geoff Ogilvy,13
2009,Dustin Johnson,14
2009,Steve Marino,15
2009,Ernie Els,16
2009,Lucas Glover,17
2009,Retief Goosen,18
2009,David Toms,19
2009,Marc Leishman,20
2009,Brian Gay,21
2009,Jerry Kelly,22
2009,Y.E. Yang,23
2009,John Senden,24
2009,Ángel Cabrera,25
2009,Kevin Na,26
2009,Hunter Mahan,27
2009,Stewart Cink,28
2009,Mike Weir,29
2009,Luke Donald,30
2009,Ian Poulter,31
2009,Mark Wilson,32
2009,Brandt Snedeker,33
2009,Rory Sabbatini,34
2009,Anthony Kim,35
2009,Tim Clark,36
2009,Charley Hoffman,37
2009,Sergio Garcia,38
2009,Justin Leonard,39
2009,Matt Kuchar,40
2009,Bill Haas,41
2009,Camilo Villegas,42
2009,Robert Allenby,43
2009,Kevin Sutherland,44
2009,John Rollins,45
2009,Pat Perez,46
2009,Ryan Moore,47
2009,Jason Day,48
2009,Charles Howell III,49
2009,Bo Van Pelt,50
2009,Davis Love III,51
2009,Paul Casey,52
2009,Bubba Watson,53
2009,Paul Goydos,54
2009,Stephen Ames,55
2009,Charlie Wi,56
2009,Freddie Jacobson,57
2009,Brian Davis,58
2009,Chad Campbell,59
2009,John Mallinger,60
2009,Ben Crane,61
2009,Webb Simpson,62
2009,Nathan Green,63
2009,Bryce Molder,64
2009,Woody Austin,65
2009,Jonathan Byrd,66
2009,Jeff Overton,67
2009,Jason Bohn,68
2009,J.B. Holmes,69
2009,Bob Estes,70
2009,Brett Quigley,71
2009,D.A. Points,72
2009,Boo Weekley,73
2009,Mathew Goggin,74
2009,John Merrick,75
2009,Kevin Streelman,76
2009,Greg Owen,77
2009,Troy Matteson,78
2009,Lee Janzen,79
2009,Briny Baird,80
2009,Vijay Singh,81
2009,Scott McCarron,82
2009,J.J. Henry,83
2009,Fred Couples,84
2009,Justin Rose,85
2009,Michael Letzig,86
2009,Greg Chalmers,87
2009,Scott Piercy,88
2009,Tim Petrovic,89
2009,Jeff Klauk,90
2009,Richard Johnson,91
2009,Rod Pampling,92
2009,Ted Purdy,93
2009,James Nitties,94
2009,Kevin Stadler,95
2009,D.J. Trahan,96
2009,Daniel Chopra,97
2009,Cameron Beckman,98
2009,Nick O'Hern,99
2009,Ryuji Imada,100
2009,K.J. Choi,101
2009,Ben Curtis,102
2009,Chris Riley,103
2009,Harrison Frazar,104
2009,George McNeill,105
2009,Matt Bettencourt,106
2009,Bill Lunde,107
2009,Michael Allen,108
2009,Robert Garrigus,109
2009,Adam Scott,110
2009,Aaron Baddeley,111
2009,James Driscoll,112
2009,Jeff Quinney,113
2009,Tim Herron,114
2009,Vaughn Taylor,115
2009,Alex Cejka,116
2009,Mark Calcavecchia,117
2009,Chris DiMarco,118
2009,Steve Flesch,119
2009,Chris Stroud,120
2009,Joe Ogilvie,121
2009,David Mathis,122
2009,Todd Hamilton,123
2009,Roland Thatcher,124
2009,Jeff Maggert,125
2009,Matt Jones,126
2009,Ken Duke,127
2009,Rich Beem,128
2009,Corey Pavin,129
2009,Tom Watson,130
2009,Charles Warren,131
2009,Andres Romero,132
2009,Rocco Mediate,133
2009,Ryan Palmer,134
2009,Cliff Kresge,135
2009,Aron Price,136
2009,Brendon de Jonge,137
2009,Nicholas Thompson,138
2009,Michael Bradley,139
2009,Tommy Armour III,140
2009,Stuart Appleby,141
2009,Ricky Barnes,142
2009,Spencer Levin,143
2009,Will MacKenzie,144
2009,Dean Wilson,145
2009,Martin Laird,146
2009,Tom Lehman,147
2009,Jimmy Walker,148
2009,David Duval,149
2009,Glen Day,150
2009,Johnson Wagner,151
2009,Matt Weibring,152
2009,Steve Lowery,153
2009,Carl Pettersson,154
2009,Scott Sterling,155
2009,Tom Pernice Jr.,156
2009,Brad Adamonis,157
2009,Trevor Immelman,158
2009,Chez Reavie,159
2009,Brandt Jobe,160
2009,Bart Bryant,161
2009,Billy Mayfair,162
2009,Jonathan Kaye,163
2009,Tag Ridings,164
2009,Patrick Sheehan,165
2009,Casey Wittenberg,166
2009,Joe Durant,167
2009,Kris Blanks,168
2009,Shaun Micheel,169
2009,Jason Gore,170
2009,Steve Elkington,171
2009,Peter Lonard,172
2009,Mark Brooks,173
2009,Jarrod Lyle,174
2009,Tim Wilkinson,175
2009,Parker McLachlin,176
2009,Jay Williamson,177
2009,Darron Stiles,178
2009,J.P. Hayes,179
2009,Kent Jones,180
2009,Brendon Todd,181
2009,Frank Lickliter II,182
2009,José María Olazábal,183
2009,Bob Heintz,184
2009,Shigeki Maruyama,185
2009,John Huston,186
2009,Dudley Hart,187
2009,Colt Knost,188
2009,Marc Turnesa,189
2009,Kirk Triplett,190
2009,Tommy Gainey,191
2009,Aaron Watkins,192
2009,Greg Kraft,193
2009,Brian Vranesh,194
2009,Garrett Willis,195
2009,David Berganio Jr.,196
2009,Wil Collins,197
2009,Mathias Grönberg,198
2009,Peter Tomasulo,199
2009,Omar Uresti,200
2009,Derek Fathauer,201
2009,Scott Gutschewski,202
2009,Paul Stankowski,203
2009,Leif Olson,204
2009,Dicky Pride,205
2009,Eric Axley,206
2009,Gary Woodland,207
2009,Ronnie Black,208
2009,Chris Couch,209
2009,Arjun Atwal,210
2009,Bob Tway,211
2009,Neal Lancaster,212
2009,David Peoples,213
2009,Guy Boros,214
2009,John Daly,215
2009,Loren Roberts,216
2009,Carlos Franco,217
2009,Sandy Lyle,218
2009,Len Mattiace,219
2009,Rick Price,220
2009,Jesper Parnevik,221
2009,James Oh,222
2009,Mark Hensby,223
2009,Larry Mize,224
2009,Brad Faxon,225
2009,Chris Smith,226
2009,Jay Delsing,227
2009,Arron Oberholser,228
2009,Skip Kendall,229
2009,Marco Dawson,230
2009,Notah Begay III,231
2009,Jeff Sluman,232
2009,Robert Damron,233
2009,Tom Byrum,234
2009,Scott Hoch,235
2009,Stephen Leaney,236
2009,José Coceres,237
2009,Brian Bateman,238
2009,Troy Kelly,239
2009,Spike McRoy,240
2009,Fred Funk,241
2009,Tom Scherrer,242
2009,Steve Allan,243
2009,Matthew Borchert,244
2009,Billy Andrade,245
2009,Grant Waite,246
2009,Tyler Aldridge,247
2009,David Gossett,248
2009,Paul Azinger,249
2009,Olin Browne,250
2009,Mark O'Meara,251
2009,Greg Norman,252
2009,Steve Pate,253
2009,Robin Freeman,254
2009,J.L. Lewis,255
