year,player_name,greens_in_regulation
2024,Patrick Fishburn,74.21
2024,Austin Smotherman,73.17
2024,Scottie Scheffler,73.16
2024,Doug Ghim,72.65
2024,Lanto Griffin,72.53
2024,Jhonattan Vegas,72.3
2024,Patton Kizzire,71.95
2024,Henrik Norlander,71.72
2024,Aaron Rai,71.58
2024,Kevin Yu,71.54
2024,Greyson Sigg,71.49
2024,Daniel Berger,71.2
2024,Andrew Novak,71.15
2024,Brice Garnett,71.06
2024,Joel Dahmen,71.04
2024,Rico Hoey,70.9
2024,J.J. Spaun,70.9
2024,Chan Kim,70.69
2024,Alex Smalley,70.65
2024,Matt NeSmith,70.6
2024,Bud Cauley,70.58
2024,Nick Hardy,70.5
2024,Ryo Hisatsune,70.44
2024,Keith Mitchell,70.44
2024,Joe Highsmith,70.32
2024,Corey Conners,70.31
2024,Kevin Tway,70.28
2024,Michael Kim,70.16
2024,Ben Silverman,70.09
2024,Nico Echavarria,70.08
2024,Sam Stevens,70.01
2024,Ben Kohles,70.0
2024,David Skinns,69.99
2024,Mac Meissner,69.98
2024,Nate Lashley,69.97
2024,Xander Schauffele,69.97
2024,Joseph Bramlett,69.91
2024,Patrick Rodgers,69.83
2024,Erik van Rooyen,69.83
2024,Ben Griffin,69.79
2024,Wesley Bryan,69.78
2024,Matti Schmid,69.73
2024,Justin Lower,69.59
2024,Carson Young,69.57
2024,Beau Hossler,69.54
2024,Matt Wallace,69.53
2024,Martin Laird,69.37
2024,Hayden Springer,69.21
2024,Tom Whitney,69.2
2024,Lucas Glover,69.12
2024,Chez Reavie,69.12
2024,Tony Finau,68.99
2024,Andrew Putnam,68.92
2024,Kurt Kitayama,68.85
2024,Ryan Moore,68.83
2024,Kevin Dougherty,68.82
2024,Chad Ramey,68.81
2024,Pierceson Coody,68.66
2024,Davis Thompson,68.64
2024,Max Greyserman,68.54
2024,Victor Perez,68.52
2024,Ryan McCormick,68.49
2024,Chesson Hadley,68.43
2024,Jacob Bridgeman,68.38
2024,Josh Teater,68.38
2024,Rafael Campos,68.33
2024,Cameron Champ,68.32
2024,David Lipsky,68.28
2024,Alex Noren,68.28
2024,Kevin Chappell,68.25
2024,Vincent Norrman,68.25
2024,Mark Hubbard,68.18
2024,Ludvig Åberg,68.15
2024,Lee Hodges,68.13
2024,Dylan Wu,68.13
2024,Kevin Streelman,68.12
2024,Luke List,67.97
2024,Maverick McNealy,67.93
2024,Seamus Power,67.88
2024,Garrick Higgo,67.86
2024,Sahith Theegala,67.86
2024,Sam Ryder,67.85
2024,Viktor Hovland,67.84
2024,C.T. Pan,67.8
2024,Brandon Wu,67.7
2024,Chris Gotterup,67.68
2024,Tom Hoge,67.66
2024,K.H. Lee,67.66
2024,Byeong Hun An,67.63
2024,Tyler Duncan,67.62
2024,Adam Svensson,67.55
2024,Sepp Straka,67.53
2024,Roger Sloan,67.34
2024,Tommy Fleetwood,67.29
2024,Keegan Bradley,67.09
2024,Justin Suh,67.04
2024,Taylor Pendrith,67.03
2024,Charley Hoffman,66.98
2024,Shane Lowry,66.98
2024,Hideki Matsuyama,66.74
2024,Vince Whaley,66.74
2024,Zac Blair,66.67
2024,Trace Crowe,66.5
2024,Wilson Furr,66.47
2024,Billy Horschel,66.45
2024,Matt Kuchar,66.44
2024,Callum Tarren,66.43
2024,Harry Hall,66.39
2024,Taylor Moore,66.39
2024,Jorge Campillo,66.35
2024,Adam Scott,66.35
2024,Camilo Villegas,66.28
2024,Gary Woodland,66.25
2024,Adrien Dumont de Chassart,66.22
2024,Zach Johnson,66.2
2024,Cameron Young,66.19
2024,Austin Eckroat,66.17
2024,Tom Kim,66.17
2024,Ryan Brehm,66.11
2024,J.T. Poston,66.08
2024,Troy Merritt,66.07
2024,Parker Coody,66.06
2024,Stephan Jaeger,66.03
2024,Akshay Bhatia,66.02
2024,Robert MacIntyre,65.97
2024,Matthieu Pavon,65.96
2024,Ryan Fox,65.95
2024,Harris English,65.89
2024,Emiliano Grillo,65.88
2024,Jordan Spieth,65.87
2024,Brian Harman,65.84
2024,Hayden Buckley,65.81
2024,Chris Kirk,65.8
2024,Rory McIlroy,65.7
2024,Justin Thomas,65.59
2024,Jake Knapp,65.41
2024,Si Woo Kim,65.4
2024,Min Woo Lee,65.4
2024,Chandler Phillips,65.39
2024,Wyndham Clark,65.34
2024,Will Zalatoris,65.32
2024,Blaine Hale Jr.,65.28
2024,Collin Morikawa,65.19
2024,Adam Schenk,65.16
2024,Sungjae Im,65.13
2024,Nicolai Højgaard,65.11
2024,Sami Valimaki,65.09
2024,Alejandro Tosti,65.06
2024,Rickie Fowler,65.01
2024,Russell Henley,64.99
2024,Adam Hadwin,64.91
2024,Nick Taylor,64.79
2024,Sam Burns,64.69
2024,Robby Shelton,64.69
2024,Matt Fitzpatrick,64.4
2024,Davis Riley,64.31
2024,Nick Dunlap,64.26
2024,Thorbjørn Olesen,63.77
2024,Max Homa,63.71
2024,Ben Taylor,63.71
2024,Brandt Snedeker,63.7
2024,Mackenzie Hughes,63.68
2024,Cam Davis,63.49
2024,Jason Day,63.45
2024,Aaron Baddeley,63.39
2024,Thomas Detry,63.35
2024,Justin Rose,63.3
2024,Ryan Palmer,63.23
2024,Tyson Alexander,63.19
2024,Carl Yuan,63.11
2024,Patrick Cantlay,63.08
2024,Brendon Todd,63.08
2024,Paul Barjon,63.0
2024,Eric Cole,62.67
2024,Denny McCarthy,62.64
2024,Kevin Kisner,62.35
2024,S.H. Kim,62.17
2024,Martin Trainer,62.11
2024,Christiaan Bezuidenhout,62.06
2024,Webb Simpson,61.76
2024,Erik Barnes,61.63
2024,Peter Malnati,61.41
2024,Taylor Montgomery,60.49
2024,Raul Pereda,57.33
