year,player_name,money_earned
2023,Scottie Scheffler,21014342
2023,Jon Rahm,16522608
2023,Viktor Hovland,14112235
2023,Rory McIlroy,13921008
2023,Max Homa,10761517
2023,Wyndham Clark,10757490
2023,Patrick Cantlay,10372998
2023,Brian Harman,9175262
2023,Keegan Bradley,9010040
2023,Xander Schauffele,8459066
2023,Tyrrell Hatton,8336912
2023,Matt Fitzpatrick,8144543
2023,Rickie Fowler,7864161
2023,Tom Kim,7774918
2023,Collin Morikawa,7573198
2023,Sahith Theegala,7284670
2023,Jordan Spieth,7240044
2023,Sam Burns,7139050
2023,Jason Day,6922758
2023,Kurt Kitayama,6840062
2023,Denny McCarthy,6760012
2023,Sungjae Im,6665921
2023,Tommy Fleetwood,6510641
2023,Lucas Glover,6399296
2023,Russell Henley,6332282
2023,Nick Taylor,6242461
2023,Tony Finau,5867652
2023,Harris English,5600689
2023,Corey Conners,5545721
2023,Emiliano Grillo,5476302
2023,Eric Cole,5457030
2023,Si Woo Kim,5397030
2023,Cameron Young,5392961
2023,Sepp Straka,5287574
2023,Taylor Moore,5077211
2023,Cam Davis,5001208
2023,Adam Schenk,4987135
2023,Adam Svensson,4844402
2023,Tom Hoge,4723610
2023,Adam Hadwin,4713995
2023,Justin Rose,4635120
2023,Andrew Putnam,4459264
2023,Mackenzie Hughes,4318591
2023,Chris Kirk,4150252
2023,Brendon Todd,3935870
2023,Hideki Matsuyama,3874772
2023,Matt Kuchar,3840222
2023,Seamus Power,3792807
2023,Lee Hodges,3749468
2023,J.T. Poston,3699409
2023,Beau Hossler,3586109
2023,Justin Thomas,3566403
2023,Adam Scott,3329394
2023,Byeong Hun An,3231760
2023,Ludvig Åberg,3144994
2023,Alex Smalley,3128514
2023,Taylor Montgomery,3079378
2023,Justin Suh,3075821
2023,Keith Mitchell,3062484
2023,J.J. Spaun,3060779
2023,Luke List,3029125
2023,Patrick Rodgers,3026193
2023,Sam Ryder,2946215
2023,Mark Hubbard,2932685
2023,Hayden Buckley,2929779
2023,Ben Griffin,2897799
2023,K.H. Lee,2883904
2023,Davis Riley,2856707
2023,Nick Hardy,2845184
2023,Brandon Wu,2622608
2023,Alex Noren,2591982
2023,Shane Lowry,2588707
