year,player_name,scoring_average
2018,Dustin Johnson,68.698
2018,Justin Rose,68.993
2018,Justin Thomas,69.118
2018,Webb Simpson,69.293
2018,Rory McIlroy,69.303
2018,Tommy Fleetwood,69.342
2018,Tiger Woods,69.35
2018,Rickie Fowler,69.435
2018,Brooks Koepka,69.444
2018,Tony Finau,69.52
2018,Jason Day,69.603
2018,Henrik Stenson,69.617
2018,Bryson DeChambeau,69.646
2018,Francesco Molinari,69.797
2018,Paul Casey,69.85
2018,Rafa Cabrera Bello,69.887
2018,Patrick Cantlay,69.899
2018,Jordan Spieth,69.904
2018,Zach Johnson,69.911
2018,Jon Rahm,69.958
2018,Alex Noren,69.973
2018,Ryan Moore,70.015
2018,Hideki Matsuyama,70.022
2018,Tyrrell Hatton,70.091
2018,Phil Mickelson,70.098
2018,Patrick Reed,70.106
2018,Emiliano Grillo,70.152
2018,Billy Horschel,70.154
2018,Louis Oosthuizen,70.157
2018,Gary Woodland,70.161
2018,Byeong Hun An,70.19
2018,Charles Howell III,70.219
2018,Luke List,70.229
2018,Aaron Wise,70.247
2018,Marc Leishman,70.26
2018,Brian Gay,70.28
2018,Kevin Na,70.288
2018,Keegan Bradley,70.303
2018,Chesson Hadley,70.311
2018,Daniel Berger,70.32
2018,Jim Furyk,70.342
2018,Brandt Snedeker,70.379
2018,Bubba Watson,70.384
2018,Kyle Stanley,70.404
2018,Chris Kirk,70.411
2018,Branden Grace,70.412
2018,Adam Scott,70.42
2018,Chez Reavie,70.432
2018,Kevin Streelman,70.436
2018,Stewart Cink,70.44
2018,Jason Kokrak,70.444
2018,C.T. Pan,70.457
2018,Matt Kuchar,70.461
2018,Austin Cook,70.469
2018,Xander Schauffele,70.486
2018,Russell Henley,70.489
2018,Cameron Smith,70.517
2018,Charley Hoffman,70.521
2018,J.J. Spaun,70.525
2018,Brian Harman,70.536
2018,Russell Knox,70.568
2018,Beau Hossler,70.574
2018,Joel Dahmen,70.578
2018,Peter Uihlein,70.578
2018,Andrew Putnam,70.579
2018,Ian Poulter,70.593
2018,Pat Perez,70.594
2018,Kiradech Aphibarnrat,70.629
2018,Ollie Schniederjans,70.641
2018,Abraham Ancer,70.659
2018,Anirban Lahiri,70.66
2018,Alex Cejka,70.675
2018,Vaughn Taylor,70.692
2018,Rory Sabbatini,70.693
2018,Bronson Burgoon,70.701
2018,John Huh,70.718
2018,Scott Stallings,70.719
2018,Brandon Harkins,70.721
2018,Kevin Kisner,70.729
2018,Patrick Rodgers,70.731
2018,Jamie Lovemark,70.734
2018,Scott Piercy,70.736
2018,Corey Conners,70.743
2018,Adam Hadwin,70.75
2018,Shane Lowry,70.754
2018,Ryan Armour,70.758
2018,Johnson Wagner,70.758
2018,Jimmy Walker,70.786
2018,J.B. Holmes,70.789
2018,William McGirt,70.791
2018,Sam Saunders,70.794
2018,Kevin Tway,70.8
2018,Trey Mullinax,70.815
2018,Blayne Barber,70.835
2018,Kevin Chappell,70.839
2018,Martin Laird,70.839
2018,Patton Kizzire,70.841
2018,Peter Malnati,70.841
2018,Aaron Baddeley,70.85
2018,Denny McCarthy,70.861
2018,Nick Watney,70.862
2018,Seamus Power,70.869
2018,Troy Merritt,70.888
2018,James Hahn,70.896
2018,Cameron Percy,70.909
2018,Sam Ryder,70.914
2018,J.T. Poston,70.915
2018,Keith Mitchell,70.92
2018,Michael Thompson,70.924
2018,Tom Hoge,70.945
2018,Harold Varner III,70.971
2018,Ben Martin,70.974
2018,Ryan Blaum,70.993
2018,Nate Lashley,70.999
2018,Graeme McDowell,71.001
2018,Brice Garnett,71.018
2018,Fabián Gómez,71.02
2018,Brendan Steele,71.021
2018,Ted Potter Jr.,71.024
2018,Bill Haas,71.028
2018,Ryan Palmer,71.031
2018,Brian Stuard,71.038
2018,Tyler Duncan,71.04
2018,David Lingmerth,71.043
2018,Andrew Landry,71.059
2018,Lucas Glover,71.066
2018,Ben Crane,71.097
2018,Matt Jones,71.112
2018,Hunter Mahan,71.135
2018,Lanto Griffin,71.145
2018,Talor Gooch,71.149
2018,Harris English,71.162
2018,Dominic Bozzelli,71.179
2018,Richy Werenski,71.185
2018,Brett Stegmaier,71.191
2018,Shawn Stefani,71.192
2018,Danny Lee,71.196
2018,Zac Blair,71.215
2018,Tyrone Van Aswegen,71.243
2018,Tom Lovelady,71.252
2018,Nick Taylor,71.269
2018,Jhonattan Vegas,71.275
2018,Ben Silverman,71.281
2018,Mackenzie Hughes,71.282
2018,Jason Dufner,71.323
2018,David Hearn,71.325
2018,Scott Brown,71.329
2018,Kelly Kraft,71.333
2018,Nicholas Lindheim,71.344
2018,Charl Schwartzel,71.349
2018,Bud Cauley,71.356
2018,Stephan Jaeger,71.356
2018,Si Woo Kim,71.367
2018,Adam Schenk,71.37
2018,J.J. Henry,71.372
2018,Jonathan Byrd,71.398
2018,Retief Goosen,71.409
2018,Robert Garrigus,71.457
2018,Martin Flores,71.458
2018,Conrad Shindler,71.465
2018,Whee Kim,71.477
2018,Sean O'Hair,71.479
2018,Xinjun Zhang,71.486
2018,Rob Oppenheim,71.532
2018,Wesley Bryan,71.552
2018,Hudson Swafford,71.619
2018,Chris Stroud,71.628
2018,Steve Wheatcroft,71.631
2018,Michael Kim,71.662
2018,Ricky Barnes,71.663
2018,Chad Campbell,71.683
2018,Billy Hurley III,71.715
2018,Roberto Díaz,71.731
2018,Derek Fathauer,71.827
2018,Robert Streb,71.905
2018,Martin Piller,71.929
2018,Jonathan Randolph,71.945
2018,Sung Kang,71.954
2018,Ethan Tracy,72.038
2018,Matt Every,72.044
2018,Grayson Murray,72.091
2018,Cody Gribble,72.112
2018,Jonas Blixt,72.134
2018,Cameron Tringale,72.146
2018,Satoshi Kodaira,72.182
2018,Matt Atkins,72.251
2018,Rod Pampling,72.445
2018,Greg Chalmers,72.531
2018,Kyle Thompson,72.673
2018,Zecheng Dou,72.773
2018,D.A. Points,73.019
2018,Daniel Summerhays,73.177
2018,Andrew Yun,73.624
