year,player_name,sg_approach
2010,Adam Scott,1.164
2010,Vijay Singh,0.979
2010,Steve Stricker,0.773
2010,Camilo Villegas,0.755
2010,Phil Mickelson,0.738
2010,Ernie Els,0.735
2010,Brendon de Jonge,0.721
2010,Ricky Barnes,0.675
2010,Luke Donald,0.661
2010,Robert Allenby,0.642
2010,Jim Furyk,0.641
2010,Chad Campbell,0.606
2010,Tim Clark,0.591
2010,Cameron Percy,0.589
2010,Rocco Mediate,0.568
2010,Heath Slocum,0.546
2010,Padraig Harrington,0.524
2010,Nick Watney,0.517
2010,Bill Haas,0.515
2010,K.J. Choi,0.507
2010,Geoff Ogilvy,0.488
2010,Paul Casey,0.483
2010,Mike Weir,0.466
2010,Alex Cejka,0.464
2010,Scott Verplank,0.456
2010,John Senden,0.455
2010,D.J. Trahan,0.45
2010,Brett Quigley,0.425
2010,Billy Mayfair,0.424
2010,Kris Blanks,0.417
2010,Marc Leishman,0.417
2010,Spencer Levin,0.413
2010,Cliff Kresge,0.41
2010,Rickie Fowler,0.395
2010,Ben Crane,0.379
2010,Paul Stankowski,0.377
2010,Davis Love III,0.364
2010,Mark Calcavecchia,0.363
2010,Matt Kuchar,0.336
2010,Jimmy Walker,0.336
2010,Briny Baird,0.334
2010,Kevin Na,0.333
2010,Vaughn Taylor,0.333
2010,Charles Warren,0.327
2010,Jason Bohn,0.324
2010,Johnson Wagner,0.323
2010,Charley Hoffman,0.317
2010,Stewart Cink,0.309
2010,Freddie Jacobson,0.302
2010,Justin Leonard,0.299
2010,Joe Durant,0.296
2010,Aron Price,0.291
2010,Dustin Johnson,0.288
2010,Charlie Wi,0.28
2010,Rory McIlroy,0.271
2010,Garrett Willis,0.261
2010,Bo Van Pelt,0.26
2010,Jerry Kelly,0.246
2010,Paul Goydos,0.244
2010,Bryce Molder,0.235
2010,Rich Barcelo,0.228
2010,Tom Pernice Jr.,0.225
2010,Zach Johnson,0.221
2010,Michael Bradley,0.219
2010,Jeff Quinney,0.207
2010,David Duval,0.202
2010,Sergio Garcia,0.199
2010,Sean O'Hair,0.198
