year,player_name,sg_around_green
2018,Aaron Baddeley,0.595
2018,Patrick Reed,0.545
2018,Jamie Lovemark,0.519
2018,Alex Cejka,0.495
2018,Jason Day,0.479
2018,Justin Rose,0.45
2018,Zach Johnson,0.425
2018,Louis Oosthuizen,0.408
2018,Wesley Bryan,0.407
2018,Zac Blair,0.394
2018,Tiger Woods,0.385
2018,Kevin Na,0.373
2018,Webb Simpson,0.37
2018,Bill Haas,0.368
2018,Luke List,0.349
2018,Jonathan Byrd,0.339
2018,Francesco Molinari,0.327
2018,Rory McIlroy,0.322
2018,Brandt Snedeker,0.318
2018,Justin Thomas,0.311
2018,Tommy Fleetwood,0.296
2018,Marc Leishman,0.292
2018,Si Woo Kim,0.291
2018,Ryan Moore,0.273
2018,Adam Hadwin,0.267
2018,Ricky Barnes,0.257
2018,Peter Malnati,0.255
2018,Brian Gay,0.253
2018,Tyrrell Hatton,0.252
2018,Ollie Schniederjans,0.25
2018,Rickie Fowler,0.242
2018,Bud Cauley,0.239
2018,Dustin Johnson,0.238
2018,Jim Furyk,0.235
2018,Rory Sabbatini,0.234
2018,Johnson Wagner,0.226
2018,Tony Finau,0.222
2018,Cameron Smith,0.218
2018,Matt Kuchar,0.211
2018,Cameron Percy,0.21
2018,Martin Laird,0.209
2018,Jonas Blixt,0.196
2018,Ryan Armour,0.194
2018,William McGirt,0.194
2018,Matt Jones,0.192
2018,Chris Kirk,0.19
2018,Andrew Putnam,0.187
2018,Tyrone Van Aswegen,0.187
2018,Ben Crane,0.184
2018,Jordan Spieth,0.184
2018,Austin Cook,0.179
2018,Jon Rahm,0.176
2018,Stephan Jaeger,0.175
2018,Byeong Hun An,0.167
2018,Jimmy Walker,0.166
2018,Brooks Koepka,0.162
2018,Peter Uihlein,0.156
2018,Russell Knox,0.149
2018,Patrick Cantlay,0.146
2018,Hideki Matsuyama,0.143
2018,Billy Hurley III,0.139
2018,Kiradech Aphibarnrat,0.135
2018,Dominic Bozzelli,0.133
2018,Branden Grace,0.125
2018,Adam Scott,0.125
2018,Anirban Lahiri,0.12
2018,Harris English,0.111
2018,Paul Casey,0.109
2018,Ted Potter Jr.,0.105
2018,Scott Piercy,0.097
2018,Rafa Cabrera Bello,0.096
2018,Charles Howell III,0.095
2018,Phil Mickelson,0.091
2018,Cameron Tringale,0.088
2018,Robert Streb,0.084
2018,Nate Lashley,0.08
2018,Richy Werenski,0.077
2018,Bryson DeChambeau,0.07
2018,C.T. Pan,0.063
2018,Stewart Cink,0.055
2018,Talor Gooch,0.053
2018,Danny Lee,0.051
2018,D.A. Points,0.051
2018,Ian Poulter,0.051
2018,Rob Oppenheim,0.05
2018,Michael Thompson,0.05
2018,Graeme McDowell,0.049
2018,Aaron Wise,0.042
2018,Pat Perez,0.037
2018,Patrick Rodgers,0.034
2018,J.B. Holmes,0.032
2018,James Hahn,0.028
2018,Keegan Bradley,0.026
2018,Brian Stuard,0.026
2018,Chad Campbell,0.023
2018,Harold Varner III,0.021
2018,Nick Taylor,0.017
2018,Kevin Streelman,0.014
2018,Beau Hossler,0.013
2018,Shawn Stefani,0.013
2018,Ryan Blaum,0.005
2018,Vaughn Taylor,-0.002
2018,Seamus Power,-0.003
2018,Joel Dahmen,-0.004
2018,J.T. Poston,-0.005
2018,Lucas Glover,-0.008
2018,Kyle Thompson,-0.014
2018,Grayson Murray,-0.015
2018,Denny McCarthy,-0.019
2018,Abraham Ancer,-0.022
2018,Scott Stallings,-0.025
2018,Kevin Tway,-0.026
2018,Matt Atkins,-0.027
2018,Michael Kim,-0.027
2018,Xander Schauffele,-0.027
2018,Kyle Stanley,-0.027
2018,Henrik Stenson,-0.027
2018,Alex Noren,-0.029
2018,Fabián Gómez,-0.03
2018,John Huh,-0.047
2018,Derek Fathauer,-0.048
2018,Nicholas Lindheim,-0.052
