year,player_name,sg_off_the_tee
2011,Dustin Johnson,0.912
2011,Bubba Watson,0.898
2011,Adam Scott,0.793
2011,Gary Woodland,0.742
2011,J.B. Holmes,0.726
2011,Keegan Bradley,0.683
2011,Boo Weekley,0.683
2011,Robert Garrigus,0.662
2011,John Rollins,0.647
2011,Josh Teater,0.632
2011,Bill Haas,0.628
2011,Chris Couch,0.606
2011,Bo Van Pelt,0.586
2011,D.J. Trahan,0.565
2011,Nick Watney,0.543
2011,Sergio Garcia,0.528
2011,Kyle Stanley,0.516
2011,Jason Dufner,0.515
2011,Jhonattan Vegas,0.507
2011,Martin Laird,0.499
2011,John Senden,0.496
2011,Charl Schwartzel,0.49
2011,Brandt Jobe,0.478
2011,Webb Simpson,0.476
2011,Robert Allenby,0.462
2011,Charley Hoffman,0.453
2011,Scott Stallings,0.443
2011,Kevin Streelman,0.442
2011,Jeff Overton,0.402
2011,Rickie Fowler,0.384
2011,Joe Durant,0.382
2011,Chez Reavie,0.381
2011,Hunter Mahan,0.371
2011,Steve Marino,0.364
2011,Steven Bowditch,0.339
2011,John Merrick,0.319
2011,Pat Perez,0.319
2011,Vijay Singh,0.315
2011,Billy Horschel,0.31
2011,Matt Kuchar,0.304
2011,Graeme McDowell,0.301
2011,Troy Matteson,0.295
2011,Lucas Glover,0.27
2011,Harrison Frazar,0.259
2011,Tommy Gainey,0.245
2011,Davis Love III,0.245
2011,Jim Herman,0.244
2011,Blake Adams,0.241
2011,J.J. Henry,0.239
2011,Brian Davis,0.226
2011,Rory Sabbatini,0.218
2011,Ángel Cabrera,0.217
2011,David Hearn,0.217
2011,Billy Mayfair,0.213
2011,Jason Day,0.204
2011,Alex Prugh,0.204
2011,Justin Hicks,0.202
2011,Scott Piercy,0.201
2011,Andres Romero,0.201
2011,Rod Pampling,0.193
2011,Heath Slocum,0.192
2011,Aaron Baddeley,0.19
2011,Justin Rose,0.186
2011,Scott McCarron,0.181
2011,Charles Howell III,0.168
2011,David Toms,0.166
2011,Jim Renner,0.162
2011,Ryan Moore,0.158
2011,Bill Lunde,0.156
2011,Cameron Tringale,0.154
2011,Y.E. Yang,0.152
2011,Kevin Chappell,0.14
2011,Phil Mickelson,0.14
2011,Sung Kang,0.135
2011,Bobby Gates,0.133
2011,George McNeill,0.13
2011,Brandt Snedeker,0.127
2011,Ernie Els,0.121
2011,Brendan Steele,0.118
2011,Tag Ridings,0.114
2011,Carl Pettersson,0.113
2011,Kevin Stadler,0.109
2011,Briny Baird,0.101
2011,Ben Crane,0.101
2011,Spencer Levin,0.097
2011,Chad Campbell,0.082
2011,Tom Gillis,0.076
2011,Ben Martin,0.073
2011,Zack Miller,0.057
2011,Steve Stricker,0.047
2011,D.A. Points,0.044
2011,Luke Donald,0.04
2011,Robert Karlsson,0.038
2011,Jerry Kelly,0.038
2011,Joseph Bramlett,0.03
2011,Michael Putnam,0.02
2011,Geoff Ogilvy,0.017
2011,Nick O'Hern,0.013
2011,Zach Johnson,0.012
2011,Mark Wilson,0.007
2011,Steve Elkington,-0.004
2011,Roland Thatcher,-0.007
2011,Ricky Barnes,-0.011
2011,Hunter Haas,-0.015
2011,Jim Furyk,-0.017
2011,Freddie Jacobson,-0.017
2011,J.P. Hayes,-0.035
2011,William McGirt,-0.039
2011,Jonathan Byrd,-0.041
2011,Ben Curtis,-0.046
2011,Stewart Cink,-0.055
2011,Kent Jones,-0.059
2011,Johnson Wagner,-0.059
2011,Ryan Palmer,-0.06
2011,Chris Stroud,-0.06
2011,Brendon de Jonge,-0.065
2011,Garrett Willis,-0.066
2011,K.J. Choi,-0.07
2011,Scott Gutschewski,-0.072
2011,Marc Turnesa,-0.077
2011,Kris Blanks,-0.078
2011,Chris Riley,-0.087
2011,David Mathis,-0.091
2011,Jason Bohn,-0.103
2011,Marc Leishman,-0.116
2011,Chris Kirk,-0.118
2011,Sean O'Hair,-0.122
2011,Tim Herron,-0.125
2011,Camilo Villegas,-0.125
2011,Stephen Ames,-0.131
2011,Charlie Wi,-0.133
2011,Matt Jones,-0.135
2011,Alex Cejka,-0.145
2011,Woody Austin,-0.149
2011,Rich Beem,-0.152
2011,Jarrod Lyle,-0.175
2011,Aron Price,-0.176
2011,Troy Merritt,-0.181
2011,Alexandre Rocha,-0.184
2011,Fabián Gómez,-0.186
2011,Retief Goosen,-0.204
2011,Ryuji Imada,-0.211
2011,Colt Knost,-0.229
2011,James Driscoll,-0.243
2011,David Duval,-0.243
2011,Shane Bertsch,-0.245
2011,Kevin Kisner,-0.247
2011,Rocco Mediate,-0.248
2011,Justin Leonard,-0.257
2011,Matt Bettencourt,-0.267
2011,Will Strickler,-0.267
2011,Joe Ogilvie,-0.271
2011,Paul Goydos,-0.276
2011,Jimmy Walker,-0.285
2011,Vaughn Taylor,-0.294
2011,Trevor Immelman,-0.299
2011,Chris DiMarco,-0.313
2011,Tim Petrovic,-0.316
2011,Bryce Molder,-0.325
2011,Martin Piller,-0.326
2011,Michael Thompson,-0.335
2011,Ian Poulter,-0.354
2011,Brian Gay,-0.36
2011,Matt McQuillan,-0.363
2011,Nathan Green,-0.367
2011,Padraig Harrington,-0.392
2011,Michael Connell,-0.393
2011,Lee Janzen,-0.401
2011,Greg Chalmers,-0.411
2011,Cameron Beckman,-0.423
2011,Anthony Kim,-0.455
2011,Steve Flesch,-0.46
2011,Stuart Appleby,-0.461
2011,Andres Gonzales,-0.473
2011,Paul Stankowski,-0.529
2011,Bio Kim,-0.563
2011,Michael Bradley,-0.572
2011,D.J. Brigman,-0.606
2011,Shaun Micheel,-0.64
2011,Richard Johnson,-0.689
2011,Derek Lamely,-0.7
2011,Arjun Atwal,-0.705
2011,Daniel Summerhays,-0.719
2011,Kevin Na,-0.757
2011,Dean Wilson,-0.863
2011,Nate Smith,-0.882
