year,player_name,sg_putting
2007,Jesper Parnevik,0.979
2007,Tiger Woods,0.712
2007,Tim Clark,0.695
2007,Freddie Jacobson,0.66
2007,Zach Johnson,0.659
2007,Aaron Baddeley,0.629
2007,Dean Wilson,0.619
2007,Bob Estes,0.616
2007,Tag Ridings,0.605
2007,Rory Sabbatini,0.549
2007,Chris Tidland,0.547
2007,K.J. Choi,0.518
2007,Brandt Snedeker,0.511
2007,George McNeill,0.487
2007,Craig Lile,0.484
2007,José María Olazábal,0.481
2007,Ryuji Imada,0.474
2007,Luke Donald,0.438
2007,Rich Barcelo,0.435
2007,Parker McLachlin,0.419
2007,Charlie Wi,0.416
2007,Stewart Cink,0.412
2007,Shigeki Maruyama,0.396
2007,Brian Gay,0.384
2007,Paul Goydos,0.37
2007,Arron Oberholser,0.362
2007,Joe Ogilvie,0.351
2007,Kevin Na,0.348
2007,Gavin Coles,0.34
2007,Charles Howell III,0.338
2007,Steve Elkington,0.324
2007,Tom Pernice Jr.,0.324
2007,Steve Stricker,0.322
2007,Corey Pavin,0.309
2007,Dicky Pride,0.307
2007,Henrik Stenson,0.3
2007,Michael Sim,0.298
2007,Jonathan Byrd,0.296
2007,Tim Petrovic,0.29
2007,Chris Riley,0.281
2007,David Toms,0.278
2007,Sergio Garcia,0.269
2007,Fred Funk,0.265
2007,Padraig Harrington,0.26
2007,Steve Allan,0.259
2007,Craig Bowden,0.255
2007,Stephen Ames,0.251
2007,Nathan Green,0.241
2007,Richard Johnson,0.24
2007,Vaughn Taylor,0.237
2007,Carl Pettersson,0.232
2007,Frank Lickliter II,0.227
2007,Daniel Chopra,0.222
2007,Bob Heintz,0.221
2007,Heath Slocum,0.22
2007,Stephen Leaney,0.219
2007,Hunter Mahan,0.213
2007,Mark Hensby,0.204
2007,Bart Bryant,0.198
2007,Bryce Molder,0.186
2007,Sean O'Hair,0.18
2007,Troy Matteson,0.169
2007,Andrew Buckle,0.161
2007,Tripp Isenhour,0.161
2007,Bob Tway,0.16
2007,Bo Van Pelt,0.16
2007,Phil Mickelson,0.156
2007,Charley Hoffman,0.153
2007,Jarrod Lyle,0.149
2007,Ryan Moore,0.133
2007,Ryan Armour,0.129
2007,Adam Scott,0.129
2007,Justin Leonard,0.124
2007,Lucas Glover,0.113
2007,John Rollins,0.104
2007,Marco Dawson,0.103
2007,Ryan Palmer,0.102
2007,Ken Duke,0.1
2007,Jason Gore,0.1
2007,Cliff Kresge,0.095
2007,Tim Herron,0.092
2007,Pat Perez,0.09
2007,Jay Williamson,0.09
2007,Bubba Watson,0.085
2007,Michael Boyd,0.072
2007,Geoff Ogilvy,0.072
2007,John Mallinger,0.068
2007,Jeff Quinney,0.067
2007,Brian Davis,0.065
2007,Glen Day,0.063
2007,Justin Rose,0.061
2007,Jeff Overton,0.06
2007,Eric Axley,0.059
2007,Camilo Villegas,0.046
2007,Matt Kuchar,0.041
2007,Todd Hamilton,0.032
2007,Scott Gutschewski,0.03
2007,Rich Beem,0.027
2007,J.J. Henry,0.024
2007,Mark Wilson,0.024
2007,Jason Schultz,0.022
2007,Tommy Armour III,0.019
2007,Craig Kanada,0.012
2007,Rod Pampling,0.01
2007,J.P. Hayes,-0.002
2007,Mathias Grönberg,-0.004
2007,Brett Quigley,-0.005
2007,Mathew Goggin,-0.018
2007,Bill Haas,-0.018
2007,Doug LaBelle II,-0.018
2007,Retief Goosen,-0.02
2007,Vijay Singh,-0.023
2007,Kevin Sutherland,-0.023
2007,D.J. Brigman,-0.026
2007,Shaun Micheel,-0.027
2007,Ernie Els,-0.031
2007,Michael Allen,-0.035
2007,Stuart Appleby,-0.037
2007,Ian Poulter,-0.038
2007,Rocco Mediate,-0.041
2007,Briny Baird,-0.049
2007,Nick O'Hern,-0.057
2007,Robert Garrigus,-0.062
2007,Jeff Maggert,-0.066
2007,Chris DiMarco,-0.068
2007,Cameron Beckman,-0.072
2007,Tom Byrum,-0.077
2007,Brian Bateman,-0.079
2007,Brendon de Jonge,-0.083
2007,Jim Furyk,-0.083
2007,Steve Lowery,-0.086
2007,Billy Mayfair,-0.086
2007,Chris Stroud,-0.087
2007,Jason Dufner,-0.089
2007,Joey Sindelar,-0.102
2007,Anthony Kim,-0.121
2007,Billy Andrade,-0.134
2007,Chris Couch,-0.135
2007,Kent Jones,-0.141
2007,Steve Wheatcroft,-0.153
2007,Paul Stankowski,-0.159
2007,Michael Putnam,-0.166
2007,Will MacKenzie,-0.173
2007,Anders Hansen,-0.176
2007,Peter Lonard,-0.179
2007,Jason Bohn,-0.185
2007,Ben Curtis,-0.188
2007,Steve Marino,-0.189
2007,Boo Weekley,-0.192
2007,Nick Watney,-0.198
2007,Woody Austin,-0.208
2007,Mark Brooks,-0.211
2007,Mark Calcavecchia,-0.213
2007,Robert Gamez,-0.215
2007,Duffy Waldorf,-0.219
2007,Lee Janzen,-0.226
2007,Jerry Kelly,-0.227
2007,Johnson Wagner,-0.229
2007,Scott Verplank,-0.236
2007,Steve Flesch,-0.244
2007,Jeff Brehaut,-0.25
2007,John Senden,-0.25
2007,Craig Barlow,-0.253
2007,Trevor Immelman,-0.253
2007,Daisuke Maruyama,-0.265
2007,José Coceres,-0.283
2007,Davis Love III,-0.29
2007,Paul Gow,-0.294
2007,Mike Weir,-0.294
2007,John Daly,-0.297
2007,Jeff Sluman,-0.313
2007,Kyle Reifers,-0.322
2007,Charles Warren,-0.324
2007,Kenny Perry,-0.337
2007,Matt Hendrix,-0.339
2007,Tom Lehman,-0.355
2007,Robert Allenby,-0.364
2007,Ted Purdy,-0.37
2007,Tom Johnson,-0.372
2007,David Branshaw,-0.382
2007,John Merrick,-0.409
2007,Jaco Van Zyl,-0.418
2007,Jim Rutledge,-0.425
2007,Harrison Frazar,-0.439
2007,Chad Campbell,-0.477
2007,Alex Cejka,-0.479
2007,Brett Wetterich,-0.533
2007,J.B. Holmes,-0.559
2007,D.J. Trahan,-0.559
2007,Kirk Triplett,-0.595
2007,Bubba Dickerson,-0.66
2007,Kevin Stadler,-0.75
2007,Jeff Gove,-0.774
2007,Greg Owen,-0.848
2007,Joe Durant,-0.901
2007,Darron Stiles,-1.017
