year,player_name,sg_total
2017,Rickie Fowler,1.987
2017,Jordan Spieth,1.924
2017,Dustin Johnson,1.882
2017,Justin Thomas,1.811
2017,Jon Rahm,1.778
2017,Paul Casey,1.543
2017,Marc Leishman,1.422
2017,Francesco Molinari,1.364
2017,Patrick Cantlay,1.269
2017,Hideki Matsuyama,1.267
2017,Louis Oosthuizen,1.234
2017,Justin Rose,1.232
2017,Brooks Koepka,1.204
2017,Matt Kuchar,1.173
2017,Tony Finau,1.147
2017,Brandt Snedeker,1.079
2017,Rory McIlroy,1.078
2017,Phil Mickelson,1.048
2017,Sergio Garcia,1.045
2017,Kevin Kisner,1.043
2017,Shane Lowry,1.015
2017,Stewart Cink,1.011
2017,Adam Scott,1.006
2017,Patrick Reed,0.976
2017,Kyle Stanley,0.951
2017,Webb Simpson,0.942
2017,Russell Henley,0.939
2017,Ian Poulter,0.936
2017,Jason Day,0.935
2017,Bill Haas,0.923
2017,Lucas Glover,0.918
2017,Daniel Berger,0.91
2017,Charley Hoffman,0.892
2017,Xander Schauffele,0.881
2017,Brendan Steele,0.875
2017,Pat Perez,0.862
2017,Chez Reavie,0.84
2017,Martin Laird,0.829
2017,Kevin Na,0.778
2017,Graham DeLaet,0.768
2017,Charl Schwartzel,0.761
2017,Brian Harman,0.746
2017,Jamie Lovemark,0.743
2017,Luke List,0.691
2017,J.B. Holmes,0.676
2017,Gary Woodland,0.659
2017,Jason Dufner,0.653
2017,Zach Johnson,0.631
2017,Byeong Hun An,0.589
2017,Keegan Bradley,0.553
2017,Adam Hadwin,0.551
2017,Kevin Chappell,0.538
2017,Seamus Power,0.538
2017,Bud Cauley,0.53
2017,Graeme McDowell,0.502
2017,Cameron Smith,0.502
2017,Charles Howell III,0.492
2017,Sung Kang,0.478
2017,David Lingmerth,0.475
2017,Kevin Tway,0.433
2017,Chad Campbell,0.405
2017,Ollie Schniederjans,0.383
2017,Sean O'Hair,0.376
2017,Jim Herman,0.368
2017,Emiliano Grillo,0.359
2017,Danny Lee,0.325
2017,Hudson Swafford,0.314
2017,Ryan Moore,0.301
2017,Brandon Hagy,0.293
2017,Brian Gay,0.282
2017,Matt Jones,0.278
2017,Jimmy Walker,0.273
2017,Branden Grace,0.271
2017,James Hahn,0.26
2017,Robert Garrigus,0.253
2017,Michael Kim,0.247
2017,Camilo Villegas,0.218
2017,Bryson DeChambeau,0.19
2017,S.Y. Noh,0.186
2017,Mackenzie Hughes,0.172
2017,Nick Watney,0.171
2017,Sebastián Muñoz,0.169
2017,Kevin Streelman,0.169
2017,Ben Martin,0.163
2017,Jim Furyk,0.151
2017,Nick Taylor,0.151
2017,Rafa Cabrera Bello,0.147
2017,Rory Sabbatini,0.125
2017,Billy Hurley III,0.11
2017,Harold Varner III,0.109
2017,Ryan Armour,0.107
2017,Vaughn Taylor,0.106
2017,John Huh,0.099
2017,Jhonattan Vegas,0.093
2017,Bubba Watson,0.085
2017,Robert Streb,0.078
2017,Sam Saunders,0.071
2017,Grayson Murray,0.064
2017,Jason Kokrak,0.052
2017,Daniel Summerhays,0.049
2017,Ryan Blaum,0.047
2017,Luke Donald,0.047
2017,Harris English,0.038
2017,J.T. Poston,0.031
2017,Tag Ridings,0.03
2017,Andres Gonzales,0.02
2017,Scott Stallings,0.02
2017,Blayne Barber,0.013
2017,Chris Stroud,0.013
2017,Trey Mullinax,0.006
2017,Billy Horschel,0.004
2017,Wesley Bryan,0.002
2017,Martin Flores,-0.015
2017,Ricky Barnes,-0.027
2017,Shawn Stefani,-0.043
2017,Zac Blair,-0.044
2017,Tim Wilkinson,-0.053
2017,Morgan Hoffmann,-0.06
2017,Scott Brown,-0.068
2017,J.J. Spaun,-0.072
2017,Gonzalo Fernandez-Castaño,-0.078
2017,Cameron Percy,-0.082
2017,C.T. Pan,-0.087
2017,David Hearn,-0.096
2017,William McGirt,-0.098
2017,Ryan Palmer,-0.129
2017,Cameron Tringale,-0.14
2017,Geoff Ogilvy,-0.152
2017,Troy Merritt,-0.162
2017,Steve Wheatcroft,-0.162
2017,Aaron Baddeley,-0.172
2017,Ryan Brehm,-0.172
2017,J.J. Henry,-0.172
2017,Michael Thompson,-0.173
2017,Smylie Kaufman,-0.177
2017,Søren Kjeldsen,-0.182
2017,Russell Knox,-0.183
2017,Peter Malnati,-0.184
2017,Anirban Lahiri,-0.186
2017,Whee Kim,-0.208
2017,Tyrone Van Aswegen,-0.217
2017,Ben Crane,-0.223
2017,Richy Werenski,-0.223
2017,Chris Kirk,-0.228
2017,K.J. Choi,-0.264
2017,Tom Hoge,-0.274
2017,Scott Piercy,-0.275
2017,Julián Etulain,-0.307
2017,Boo Weekley,-0.323
2017,Mark Anderson,-0.325
2017,Johnson Wagner,-0.336
2017,Jonas Blixt,-0.341
2017,Retief Goosen,-0.39
2017,Spencer Levin,-0.4
2017,D.A. Points,-0.406
2017,Fabián Gómez,-0.407
2017,Steven Alker,-0.412
2017,Jonathan Randolph,-0.416
2017,Kyle Reifers,-0.418
2017,Brian Campbell,-0.428
2017,Dominic Bozzelli,-0.449
2017,Alex Cejka,-0.452
2017,Chad Collins,-0.454
2017,Brian Stuard,-0.469
2017,Cody Gribble,-0.524
2017,Greg Chalmers,-0.533
2017,Roberto Castro,-0.561
2017,Hunter Mahan,-0.568
2017,Patton Kizzire,-0.578
2017,Derek Fathauer,-0.647
2017,Ernie Els,-0.677
2017,Rod Pampling,-0.677
2017,Kelly Kraft,-0.681
2017,Mark Hubbard,-0.702
2017,Patrick Rodgers,-0.716
2017,Brad Fritsch,-0.719
2017,Rick Lamb,-0.824
2017,Bryce Molder,-0.846
2017,Ken Duke,-0.887
2017,Si Woo Kim,-0.965
2017,Brett Drewitt,-1.035
2017,Ryo Ishikawa,-1.132
2017,Jason Bohn,-1.141
2017,Brett Stegmaier,-1.265
2017,Carl Pettersson,-1.283
2017,Nicholas Lindheim,-1.285
2017,Miguel Angel Carballo,-1.358
2017,Andrew Loupe,-1.416
2017,Matt Every,-1.454
2017,Steven Bowditch,-2.889
