RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
1,0,30911,Tommy Fleetwood,-18,1,8
2,0,35450,Patrick Cantlay,-15,0,5
2,0,34098,Russell Henley,-15,1,10
4,0,39997,Corey Conners,-14,0,7
4,0,46046,Scottie Scheffler,-14,6,17
4,0,57366,Cameron Young,-14,1,8
7,0,33141,Keegan Bradley,-13,1,6
7,0,47504,Sam Burns,-13,0,6
7,0,33448,Justin Thomas,-13,1,8
10,0,59095,Chris Gotterup,-12,1,4
10,0,54591,Ben Griffin,-12,3,12
12,0,46717,Viktor Hovland,-11,1,3
13,0,56630,Akshay Bhatia,-10,0,4
13,0,34099,Harris English,-10,1,4
13,0,27644,Brian Harman,-10,1,4
13,0,33204,Shane Lowry,-10,0,4
17,0,57975,Harry Hall,-9,0,5
17,0,52215,Robert MacIntyre,-9,0,6
19,0,50525,Collin Morikawa,-8,0,4
19,0,25493,Nick Taylor,-8,1,3
21,0,52955,Ludvig Åberg,-7,1,6
21,0,22405,Justin Rose,-7,1,5
23,0,28237,Rory McIlroy,-6,3,8
23,0,46442,Maverick McNealy,-6,0,7
25,0,51997,Andrew Novak,-4,1,6
25,0,39324,J.J. Spaun,-4,1,7
27,0,60004,Jacob Bridgeman,0,0,5
27,0,39971,Sungjae Im,0,0,3
29,0,32839,Hideki Matsuyama,3,1,1
30,0,49960,Sepp Straka,7,2,6
31,0,39975,Michael Kim,1400,0,4,6056
32,0,32102,Rickie Fowler,1372,0,3,6084
33,0,40250,Taylor Pendrith,1366,0,4,6090
34,0,40098,Matt Fitzpatrick,1304,0,5,6152
35,0,48117,Kurt Kitayama,1298,1,4,6158
36,0,25900,Lucas Glover,1296,0,5,6160
37,0,37455,Si Woo Kim,1278,0,3,6178
38,0,55893,Sam Stevens,1263,0,4,6193
39,0,59018,Ryan Gerard,1250,1,4,6206
40,0,47993,Denny McCarthy,1242,0,2,6214
41,0,28089,Jason Day,1241,0,4,6215
42,0,48081,Xander Schauffele,1220,1,4,6236
43,0,29936,Ryan Fox,1209,2,2,6247
44,0,33653,Thomas Detry,1184,1,2,6272
45,0,40026,Daniel Berger,1180,0,2,6276
46,0,46443,Brian Campbell,1160,2,2,6296
47,0,34021,Bud Cauley,1133,0,4,6323
48,0,35532,Tom Hoge,1124,0,4,6332
49,0,49771,J.T. Poston,1102,0,2,6354
50,0,27064,Jhonattan Vegas,1047,0,2,6409
51,0,30926,Chris Kirk,962,0,3,6494
52,0,63343,Aldrich Potgieter,961,1,3,6495
53,0,46414,Aaron Rai,957,0,2,6499
54,0,34046,Jordan Spieth,927,0,4,6529
55,0,47420,Jake Knapp,889,0,4,6567
56,0,51766,Wyndham Clark,875,0,2,6581
57,0,37378,Min Woo Lee,864,1,2,6592
58,0,51977,Max Greyserman,855,0,3,6601
