RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,57364,Michael Thorbjornsen,73.56%,1099,1494,-0.31
2,0,51696,Rico Hoey,73.11%,1316,1800,-0.29
3,0,36884,Ben Kohles,72.88%,1102,1512,-0.27
4,0,59836,Pierceson Coody,72.22%,676,936,-0.32
4,0,60882,Thomas Rosenmueller,72.22%,1001,1386,-0.28
6,0,57123,Steven Fisk,71.67%,1045,1458,-0.28
7,0,33968,Thorbjørn Olesen,71.65%,1006,1404,-0.30
8,0,54421,Garrick Higgo,71.64%,619,864,-0.35
9,0,47679,Victor Perez,71.61%,1057,1476,-0.27
10,0,54576,Patrick Fishburn,71.58%,1121,1566,-0.27
11,0,46046,Scottie Scheffler,71.39%,1028,1440,-0.36
12,0,54628,Lee Hodges,71.23%,1000,1404,-0.29
13,0,52375,Doug Ghim,70.74%,1095,1548,-0.27
14,0,45242,Kevin Yu,70.67%,1183,1674,-0.33
15,0,47988,Nick Hardy,70.63%,801,1134,-0.26
16,0,63121,William Mouw,70.62%,928,1314,-0.28
17,0,66743,Luke Clanton,70.59%,737,1044,-0.28
18,0,46414,Aaron Rai,70.52%,914,1296,-0.26
19,0,39546,Keith Mitchell,70.50%,1066,1512,-0.31
20,0,52453,Nicolai Højgaard,70.41%,659,936,-0.33
21,0,51890,Greyson Sigg,70.35%,975,1386,-0.26
22,0,59095,Chris Gotterup,70.33%,1152,1638,-0.29
23,0,34256,Andrew Putnam,70.26%,1037,1476,-0.27
24,0,49960,Sepp Straka,70.18%,960,1368,-0.32
25,0,29535,Brice Garnett,70.10%,858,1224,-0.26
26,0,34098,Russell Henley,70.06%,908,1296,-0.29
27,0,35450,Patrick Cantlay,70.05%,933,1332,-0.31
28,0,49453,Trevor Cone,69.97%,869,1242,-0.26
29,0,35706,Niklas Norgaard,69.92%,730,1044,-0.30
30,0,46646,Antoine Rozner,69.85%,943,1350,-0.29
31,0,46601,Trey Mullinax,69.76%,879,1260,-0.31
32,0,54591,Ben Griffin,69.66%,1304,1872,-0.31
