RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.131,5439,11.454,80
2,0,28237,Rory McIlroy,69.083,4008,-1.174,58
3,0,30911,Tommy Fleetwood,69.357,5138,-5.577,74
4,0,54591,Ben Griffin,69.692,7194,53.983,104
5,0,34098,Russell Henley,69.757,4991,31.485,72
6,0,57975,Harry Hall,69.764,6471,86.832,94
7,0,39324,J.J. Spaun,69.830,6323,31.546,91
8,0,52215,Robert MacIntyre,69.900,5841,30.640,84
9,0,54421,Garrick Higgo,70.032,3306,55.522,48
10,0,49960,Sepp Straka,70.047,5279,44.598,76
11,0,48081,Xander Schauffele,70.112,4488,-0.816,64
12,0,34046,Jordan Spieth,70.118,4765,3.012,68
13,0,33968,Thorbjørn Olesen,70.134,5413,57.459,78
14,0,34099,Harris English,70.143,6153,19.589,88
15,0,59095,Chris Gotterup,70.151,6305,78.713,91
16,0,52453,Nicolai Højgaard,70.178,3613,36.232,52
17,0,47504,Sam Burns,70.184,6541,56.319,94
18,0,33448,Justin Thomas,70.187,5578,36.967,80
19,0,48117,Kurt Kitayama,70.194,5126,68.341,74
20,0,33141,Keegan Bradley,70.195,5593,22.577,80
21,0,32839,Hideki Matsuyama,70.214,6007,31.427,86
22,0,46717,Viktor Hovland,70.229,4553,11.860,65
23,0,46414,Aaron Rai,70.234,5038,18.846,72
24,0,39997,Corey Conners,70.260,5670,21.090,81
25,0,46442,Maverick McNealy,70.264,6575,29.834,94
26,0,52955,Ludvig Åberg,70.281,4827,22.402,69
27,0,46340,Alex Smalley,70.294,5971,74.307,86
28,0,33204,Shane Lowry,70.312,4909,12.833,70
29,0,50525,Collin Morikawa,70.313,5316,27.789,76
30,0,34021,Bud Cauley,70.349,5189,16.847,74
31,0,35450,Patrick Cantlay,70.354,5166,40.174,74
32,0,29936,Ryan Fox,70.364,4917,8.492,70
33,0,37455,Si Woo Kim,70.379,6902,65.480,99
34,0,40098,Matt Fitzpatrick,70.382,5186,22.250,74
35,0,39546,Keith Mitchell,70.388,5822,90.623,84
36,0,40250,Taylor Pendrith,70.390,5740,31.959,82
37,0,51696,Rico Hoey,70.396,6933,106.562,100
38,0,40026,Daniel Berger,70.400,5553,8.578,79
39,0,57364,Michael Thorbjornsen,70.413,5745,99.274,83
40,0,59836,Pierceson Coody,70.415,3589,72.571,52
41,0,48887,Matt Wallace,70.418,5515,48.037,79
42,0,39975,Michael Kim,70.435,6737,24.783,96
43,0,25493,Nick Taylor,70.459,5729,48.636,82
44,0,45242,Kevin Yu,70.463,6462,91.083,93
45,0,47993,Denny McCarthy,70.465,6166,34.935,88
46,0,32102,Rickie Fowler,70.475,5374,52.603,77
47,0,54628,Lee Hodges,70.479,5407,90.370,78
48,0,28089,Jason Day,70.480,4342,27.770,62
49,0,51894,Vince Whaley,70.485,6935,113.487,100
50,0,59141,Matt McCarty,70.505,5922,70.957,85
51,0,31646,Emiliano Grillo,70.510,6491,66.401,93
51,0,57366,Cameron Young,70.510,6095,39.366,87
53,0,59018,Ryan Gerard,70.517,6867,43.665,98
54,0,56630,Akshay Bhatia,70.558,6080,58.546,87
55,0,52666,Sami Valimaki,70.560,5923,74.577,85
56,0,55893,Sam Stevens,70.569,7567,54.398,108
57,0,25900,Lucas Glover,70.576,5273,20.196,75
58,0,57586,Jesper Svensson,70.587,6198,84.242,89
59,0,31323,Gary Woodland,70.594,5319,46.143,76
60,0,39335,Kevin Roy,70.596,6045,96.857,87
61,0,47420,Jake Knapp,70.600,5350,86.234,77
62,0,49771,J.T. Poston,70.605,6457,38.626,92
63,0,23108,Matt Kuchar,70.611,4737,64.520,68
64,0,22405,Justin Rose,70.614,4096,-0.381,58
65,0,60004,Jacob Bridgeman,70.645,6572,68.601,94
66,0,47917,Takumi Kanaya,70.648,5644,78.450,81
67,0,48867,Matti Schmid,70.649,6147,70.113,88
68,0,51349,Nico Echavarria,70.654,6212,76.247,89
69,0,59440,Ricky Castillo,70.672,5579,74.742,80
70,0,51950,Max McGreevy,70.692,6277,85.253,90
71,0,52686,Rasmus Højgaard,70.696,4634,31.962,66
72,0,51997,Andrew Novak,70.699,6267,25.207,89
73,0,59143,Mac Meissner,70.719,5868,72.417,84
74,0,45522,Christiaan Bezuidenhout,70.724,6239,55.426,89
75,0,27644,Brian Harman,70.734,6252,43.326,89
76,0,54576,Patrick Fishburn,70.744,6071,83.769,87
77,0,57123,Steven Fisk,70.745,5653,77.326,81
