RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,33199,Matteo Manassero,0.611,23.815,39
2,0,39971,Sungjae Im,0.531,43.530,82
3,0,32757,Patton Kizzire,0.506,28.841,57
4,0,48887,Matt Wallace,0.483,26.583,55
5,0,32839,Hideki Matsuyama,0.477,34.794,73
6,0,34256,Andrew Putnam,0.465,28.841,62
7,0,34098,Russell Henley,0.449,29.657,66
8,0,33141,Keegan Bradley,0.443,32.328,73
9,0,35461,Beau Hossler,0.426,34.054,80
10,0,57975,Harry Hall,0.384,32.263,84
11,0,37455,Si Woo Kim,0.350,31.167,89
12,0,34255,Joseph Bramlett,0.349,11.853,34
13,0,37378,Min Woo Lee,0.346,19.365,56
14,0,34466,Peter Malnati,0.332,19.948,60
15,0,47917,Takumi Kanaya,0.325,17.898,55
16,0,46046,Scottie Scheffler,0.322,23.209,72
17,0,55789,Taylor Montgomery,0.321,16.679,52
18,0,49947,Taylor Moore,0.320,21.776,68
19,0,45522,Christiaan Bezuidenhout,0.313,24.126,77
20,0,35506,Mackenzie Hughes,0.311,25.227,81
21,0,28089,Jason Day,0.301,15.943,53
22,0,51766,Wyndham Clark,0.296,19.564,66
23,0,59143,Mac Meissner,0.276,19.870,72
24,0,36799,Stephan Jaeger,0.273,21.581,79
25,0,30911,Tommy Fleetwood,0.272,17.942,66
26,0,47995,Davis Riley,0.270,17.793,66
27,0,33448,Justin Thomas,0.259,18.154,70
28,0,23108,Matt Kuchar,0.257,14.663,57
29,0,40115,Adam Svensson,0.255,16.039,63
30,0,29725,Tony Finau,0.206,12.745,62
31,0,34046,Jordan Spieth,0.204,12.219,60
32,0,51894,Vince Whaley,0.199,15.156,76
33,0,57123,Steven Fisk,0.197,12.441,63
33,0,55182,Tom Kim,0.197,14.575,74
35,0,49771,J.T. Poston,0.188,15.587,83
36,0,57900,Chandler Phillips,0.182,12.203,67
36,0,55893,Sam Stevens,0.182,17.828,98
38,0,33948,Byeong Hun An,0.181,14.663,81
39,0,48117,Kurt Kitayama,0.170,11.423,67
40,0,38991,Alejandro Tosti,0.167,7.164,43
41,0,25900,Lucas Glover,0.165,11.055,67
42,0,59440,Ricky Castillo,0.156,9.975,64
43,0,39975,Michael Kim,0.155,12.839,83
43,0,51997,Andrew Novak,0.155,12.590,81
45,0,54591,Ben Griffin,0.153,14.523,95
46,0,51287,Ryo Hisatsune,0.142,10.765,76
47,0,47591,Eric Cole,0.138,12.846,93
47,0,51977,Max Greyserman,0.138,10.466,76
49,0,58168,Davis Thompson,0.137,11.087,81
50,0,52375,Doug Ghim,0.136,10.064,74
51,0,27644,Brian Harman,0.134,10.481,78
52,0,46443,Brian Campbell,0.131,7.201,55
52,0,34587,Chan Kim,0.131,8.252,63
52,0,36824,Paul Peterson,0.131,6.410,49
55,0,46340,Alex Smalley,0.125,8.728,70
56,0,30926,Chris Kirk,0.123,8.736,71
57,0,28237,Rory McIlroy,0.118,5.921,50
58,0,36699,Patrick Rodgers,0.111,9.316,84
59,0,54421,Garrick Higgo,0.107,3.326,31
60,0,52215,Robert MacIntyre,0.103,8.065,78
61,0,60004,Jacob Bridgeman,0.098,8.398,86
62,0,25493,Nick Taylor,0.097,6.950,72
63,0,40098,Matt Fitzpatrick,0.095,6.267,66
64,0,57586,Jesper Svensson,0.092,6.916,75
65,0,52370,Mason Andersen,0.091,4.098,45
65,0,36326,David Lipsky,0.091,5.435,60
67,0,28252,Seamus Power,0.080,5.505,69
68,0,46414,Aaron Rai,0.077,4.864,63
69,0,39327,Ben Silverman,0.071,4.457,63
70,0,59866,Nick Dunlap,0.070,4.608,66
70,0,51890,Greyson Sigg,0.070,4.242,61
72,0,29535,Brice Garnett,0.064,3.879,61
73,0,52144,Braden Thornberry,0.061,2.801,46
74,0,54628,Lee Hodges,0.056,3.483,62
75,0,59018,Ryan Gerard,0.054,4.792,88
